EmployeeNumber,Age,Department,JobRole,Gender,Education,MaritalStatus,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,TrainingTimesLastYear,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,PercentSalaryHike,Attrition
675,22,Research & Development,Research Scientist,Male,1,Married,4,3,1,3,3,No,3,2,2,2,2,2773,20,No
677,33,Sales,Sales Executive,Male,4,Divorced,3,3,3,3,3,No,6,5,0,1,2,7104,12,No
679,32,Research & Development,Research Scientist,Female,4,Married,3,4,1,2,2,Yes,6,6,4,0,5,6322,12,No
680,30,Research & Development,Research Scientist,Female,3,Divorced,4,3,3,3,2,No,1,1,0,0,0,2083,20,No
682,53,Sales,Sales Executive,Female,1,Single,4,1,4,4,2,No,18,14,7,8,10,8381,20,No
683,34,Research & Development,Research Scientist,Male,5,Married,3,4,2,2,4,No,10,10,9,8,8,2691,12,No
684,45,Sales,Sales Executive,Female,4,Married,3,1,1,3,4,No,5,1,1,0,0,4286,14,Yes
686,26,Research & Development,Laboratory Technician,Female,3,Married,3,4,3,3,2,Yes,3,3,2,0,2,2659,13,No
689,37,Research & Development,Manufacturing Director,Male,3,Married,3,3,3,3,2,No,10,10,7,7,8,9434,15,No
690,29,Sales,Sales Executive,Female,2,Married,3,3,2,2,5,No,6,6,0,1,2,5561,14,No
691,35,Research & Development,Research Scientist,Male,4,Single,3,4,2,3,3,No,17,17,11,11,8,6646,13,No
692,33,Research & Development,Healthcare Representative,Male,3,Divorced,4,4,3,1,2,No,15,13,11,4,7,7725,23,No
698,54,Human Resources,Human Resources,Male,4,Married,3,2,3,4,1,No,16,9,7,7,1,10725,15,No
699,36,Research & Development,Manufacturing Director,Male,2,Divorced,3,2,2,3,2,Yes,13,3,2,0,2,8847,11,No
700,27,Research & Development,Research Scientist,Male,4,Single,3,4,1,3,0,No,5,4,2,1,1,2045,13,No
701,20,Research & Development,Research Scientist,Male,1,Single,3,3,4,3,5,Yes,1,1,0,1,1,1009,11,Yes
702,33,Research & Development,Research Scientist,Male,3,Single,3,1,1,3,3,Yes,10,10,8,9,7,3348,11,Yes
704,35,Research & Development,Laboratory Technician,Male,3,Married,3,3,3,3,3,No,1,1,0,0,0,1281,18,No
705,23,Research & Development,Research Scientist,Male,3,Married,3,1,1,4,3,No,5,3,2,0,2,2819,16,No
707,25,Sales,Sales Executive,Male,3,Married,4,2,4,3,4,No,4,3,2,1,2,4851,22,No
709,38,Sales,Sales Executive,Female,4,Single,4,4,4,3,2,No,8,7,7,0,5,4028,20,No
710,29,Research & Development,Research Scientist,Male,4,Divorced,3,4,2,3,5,No,10,10,7,2,8,2720,18,No
712,48,Sales,Sales Executive,Male,1,Married,3,2,2,3,3,No,12,2,2,2,2,8120,12,No
714,27,Sales,Sales Executive,Female,1,Divorced,4,4,4,3,3,Yes,6,6,5,0,4,4647,20,No
715,37,Research & Development,Research Scientist,Male,2,Single,3,4,4,3,2,No,4,1,0,0,0,4680,17,No
716,50,Research & Development,Laboratory Technician,Male,1,Married,3,3,4,3,3,Yes,20,20,8,3,8,3221,11,No
717,34,Research & Development,Healthcare Representative,Female,3,Single,3,2,4,4,3,No,9,8,7,7,7,8621,14,No
720,24,Sales,Sales Executive,Female,2,Single,3,3,1,3,3,No,4,2,2,2,0,4577,14,Yes
721,39,Research & Development,Healthcare Representative,Female,4,Single,3,3,4,3,4,No,20,20,7,11,10,4553,11,No
722,32,Sales,Sales Executive,Male,3,Single,3,4,4,2,2,No,10,10,7,0,8,5396,12,No
723,50,Sales,Sales Executive,Male,2,Married,3,3,2,3,4,Yes,18,4,3,1,3,6796,14,Yes
724,38,Research & Development,Healthcare Representative,Female,4,Single,3,4,2,2,4,No,10,9,7,1,8,7625,13,No
725,27,Research & Development,Manufacturing Director,Female,2,Married,3,1,3,3,3,No,9,9,7,0,7,7412,11,No
727,32,Research & Development,Research Director,Female,2,Single,3,4,3,3,6,No,10,7,7,7,7,11159,15,No
728,47,Sales,Sales Executive,Male,4,Single,3,1,4,3,2,No,20,7,7,1,7,4960,12,No
729,40,Sales,Sales Executive,Male,4,Married,4,1,4,3,2,Yes,20,18,13,1,12,10475,21,No
730,53,Research & Development,Research Director,Male,3,Married,3,3,3,3,3,No,32,5,1,1,3,14814,19,No
731,41,Human Resources,Manager,Male,4,Divorced,3,4,2,2,2,No,23,21,6,12,6,19141,15,No
732,60,Sales,Sales Executive,Male,4,Single,3,1,1,3,1,No,10,2,2,2,2,5405,14,No
733,27,Research & Development,Manufacturing Director,Male,2,Divorced,4,1,4,2,4,No,9,9,7,1,7,8793,21,No
734,41,Human Resources,Manager,Male,3,Married,3,3,4,3,3,No,22,22,7,2,10,19189,12,No
738,50,Sales,Sales Representative,Male,4,Married,3,2,4,3,2,No,4,2,2,2,2,3875,15,No
741,28,Research & Development,Research Scientist,Female,2,Single,3,2,1,3,4,Yes,10,7,7,3,7,2216,13,Yes
742,36,Research & Development,Research Director,Female,3,Married,3,1,1,3,2,No,10,8,7,0,5,11713,14,No
743,38,Research & Development,Manufacturing Director,Female,3,Single,3,3,3,4,4,Yes,10,1,0,0,0,7861,14,No
744,44,Research & Development,Laboratory Technician,Male,3,Single,3,3,1,3,5,No,9,5,2,1,4,3708,14,No
746,47,Sales,Sales Executive,Female,3,Divorced,3,3,4,2,2,Yes,28,22,2,11,13,13770,12,No
747,30,Sales,Sales Executive,Male,5,Divorced,4,4,3,2,2,No,10,8,7,7,7,5304,23,No
749,29,Sales,Sales Representative,Male,3,Single,3,3,3,3,6,No,1,1,0,0,0,2642,11,No
752,42,Research & Development,Research Scientist,Male,3,Divorced,3,3,3,3,2,Yes,7,2,2,2,2,2759,12,Yes
754,43,Sales,Sales Executive,Male,3,Married,3,4,4,3,5,No,7,2,2,2,2,6804,18,No
757,34,Research & Development,Healthcare Representative,Female,2,Single,3,3,2,3,2,No,10,5,1,4,3,6142,11,No
758,23,Research & Development,Laboratory Technician,Male,1,Married,3,1,2,4,2,No,5,4,3,0,2,2500,14,No
760,39,Human Resources,Human Resources,Female,3,Married,3,2,3,1,3,No,12,8,3,3,6,6389,15,No
762,56,Research & Development,Healthcare Representative,Male,3,Married,3,4,3,2,1,No,30,10,7,1,1,11103,11,No
763,40,Research & Development,Research Scientist,Female,1,Single,4,4,4,2,2,Yes,5,4,2,2,3,2342,20,No
764,27,Research & Development,Healthcare Representative,Female,3,Single,3,1,4,1,2,No,9,7,6,0,7,6811,19,No
766,29,Sales,Sales Representative,Male,3,Divorced,3,2,4,3,2,No,2,2,2,2,2,2297,14,No
769,53,Research & Development,Laboratory Technician,Male,3,Single,3,4,4,3,4,No,19,2,2,2,2,2450,17,No
771,35,Research & Development,Healthcare Representative,Female,4,Divorced,3,1,4,4,2,No,16,1,0,0,0,5093,11,No
772,32,Research & Development,Laboratory Technician,Male,4,Married,3,4,1,3,2,No,10,10,8,4,7,5309,15,No
773,38,Research & Development,Research Scientist,Male,5,Married,3,3,4,1,0,Yes,6,1,0,0,1,3057,13,No
775,34,Research & Development,Manufacturing Director,Female,5,Divorced,3,1,2,3,3,No,7,0,0,0,0,5121,14,No
776,52,Sales,Manager,Male,4,Married,3,1,3,4,3,No,34,34,6,1,16,16856,11,No
780,33,Research & Development,Research Scientist,Male,4,Single,3,4,4,2,2,Yes,10,10,9,7,8,2686,13,Yes
781,25,Sales,Sales Executive,Female,1,Single,4,4,3,2,5,No,6,6,5,1,4,6180,23,No
783,45,Sales,Sales Representative,Male,2,Single,3,3,2,3,3,No,9,8,7,3,1,6632,13,No
784,23,Research & Development,Research Scientist,Male,1,Single,3,3,1,3,3,No,2,2,2,0,2,3505,18,No
785,47,Sales,Sales Executive,Female,2,Single,3,3,2,3,2,Yes,8,5,4,1,3,6397,12,Yes
786,34,Sales,Sales Executive,Male,3,Single,4,4,4,3,5,No,6,6,5,1,4,6274,22,No
787,55,Research & Development,Manager,Male,3,Married,3,1,4,3,2,Yes,24,5,2,1,4,19859,13,Yes
789,36,Sales,Sales Executive,Male,4,Single,3,1,1,3,1,No,10,10,7,0,9,7587,15,No
791,52,Research & Development,Research Scientist,Male,4,Married,3,4,4,3,3,No,5,4,3,1,2,4258,18,No
792,26,Research & Development,Laboratory Technician,Female,2,Divorced,3,4,1,3,2,No,5,2,2,2,0,4364,14,No
793,29,Research & Development,Healthcare Representative,Female,3,Married,3,3,2,2,3,No,11,8,7,1,1,4335,12,No
796,26,Sales,Sales Executive,Male,3,Single,3,1,4,2,2,No,6,4,3,1,2,5326,17,Yes
797,34,Research & Development,Research Scientist,Female,4,Single,3,4,2,3,2,No,10,4,2,1,3,3280,16,No
799,54,Research & Development,Manufacturing Director,Female,4,Divorced,3,1,4,3,4,Yes,9,5,3,1,4,5485,11,No
800,27,Sales,Sales Executive,Male,1,Married,3,4,3,3,3,No,5,4,2,1,1,4342,19,No
802,37,Research & Development,Research Scientist,Female,1,Divorced,3,1,4,2,3,Yes,6,5,3,4,3,2782,13,No
803,38,Research & Development,Manufacturing Director,Female,4,Single,3,1,1,3,2,Yes,17,15,7,4,12,5980,12,No
804,34,Research & Development,Research Scientist,Female,4,Single,3,1,3,3,3,No,6,6,5,1,3,4381,11,No
805,35,Sales,Sales Representative,Female,4,Married,3,4,1,2,1,No,3,3,2,0,2,2572,16,No
806,30,Research & Development,Laboratory Technician,Male,3,Married,4,3,4,3,2,No,7,2,2,0,2,3833,21,No
807,40,Research & Development,Healthcare Representative,Female,2,Married,4,2,3,3,2,No,8,8,7,3,7,4244,24,No
808,34,Sales,Sales Executive,Female,2,Married,3,1,3,3,1,No,6,3,2,1,2,6500,17,No
809,42,Research & Development,Manager,Male,3,Divorced,3,4,2,2,4,No,24,24,7,14,9,18430,13,No
811,23,Research & Development,Laboratory Technician,Male,3,Married,4,1,3,3,2,Yes,1,0,0,0,0,1601,21,Yes
812,24,Research & Development,Laboratory Technician,Male,3,Divorced,3,2,3,3,4,No,1,1,0,0,0,2694,11,No
813,52,Research & Development,Laboratory Technician,Female,4,Married,4,3,4,3,3,No,9,5,2,1,4,3149,20,No
815,50,Research & Development,Research Director,Male,3,Married,3,3,3,3,3,No,30,4,3,0,3,17639,16,No
816,29,Research & Development,Laboratory Technician,Female,2,Married,3,1,2,3,1,Yes,1,1,0,0,0,2319,11,Yes
817,33,Research & Development,Research Director,Male,3,Married,3,3,3,4,3,No,14,13,9,3,7,11691,11,No
819,33,Sales,Sales Executive,Female,3,Single,3,1,1,3,3,No,6,3,2,0,2,5324,15,Yes
820,47,Research & Development,Manager,Female,2,Married,3,4,3,2,3,Yes,26,26,14,3,0,16752,11,No
823,36,Research & Development,Manufacturing Director,Female,3,Married,3,2,3,3,2,No,10,9,7,0,5,5228,15,No
824,29,Research & Development,Research Scientist,Male,2,Married,4,3,3,3,3,No,10,10,7,0,7,2700,24,No
825,58,Research & Development,Research Director,Male,4,Single,3,2,4,3,2,Yes,40,31,15,13,8,19246,12,Yes
826,35,Research & Development,Research Scientist,Female,4,Single,3,3,4,3,0,No,7,2,2,2,2,2506,13,No
827,42,Research & Development,Manufacturing Director,Female,2,Married,3,4,4,3,4,Yes,8,4,3,0,2,6062,13,No
828,28,Research & Development,Research Scientist,Male,4,Single,3,3,3,2,3,No,5,2,2,2,1,4382,17,Yes
829,36,Human Resources,Human Resources,Male,3,Married,3,2,3,3,2,No,8,5,2,0,4,2143,13,No
830,32,Research & Development,Manufacturing Director,Female,3,Married,3,3,3,3,3,No,14,14,13,6,8,6162,12,No
832,40,Research & Development,Laboratory Technician,Male,4,Single,3,3,1,3,6,No,10,1,0,0,0,5094,14,No
833,30,Research & Development,Manufacturing Director,Female,3,Single,4,4,3,2,4,Yes,12,0,0,0,0,6877,24,No
834,45,Research & Development,Research Scientist,Female,3,Single,3,3,2,3,3,No,1,1,0,0,0,2274,14,No
836,42,Research & Development,Manufacturing Director,Male,3,Married,3,2,2,2,3,No,10,9,8,7,8,4434,13,No
837,38,Research & Development,Healthcare Representative,Male,3,Divorced,3,1,1,2,3,No,13,4,3,1,2,6288,15,No
838,34,Research & Development,Research Scientist,Female,4,Single,3,4,3,3,3,No,6,5,2,1,3,2553,16,No
840,49,Sales,Sales Executive,Female,3,Married,3,4,3,4,3,No,9,9,8,7,7,7654,18,Yes
842,55,Sales,Sales Executive,Male,1,Single,3,4,3,2,3,No,12,9,7,7,3,5160,16,Yes
843,43,Research & Development,Research Director,Male,2,Married,4,1,2,3,3,No,22,4,1,1,0,17159,24,No
844,27,Research & Development,Research Director,Male,1,Divorced,3,4,3,3,3,Yes,9,9,8,0,8,12808,16,No
845,35,Research & Development,Manufacturing Director,Male,3,Single,4,3,3,4,3,No,17,8,5,1,6,10221,21,No
846,28,Sales,Sales Executive,Female,4,Married,4,2,2,3,2,Yes,8,8,7,7,5,4779,20,No
847,34,Human Resources,Human Resources,Male,2,Married,3,4,3,1,1,No,4,3,2,0,2,3737,19,No
848,26,Research & Development,Research Scientist,Female,2,Married,3,3,3,3,2,Yes,8,8,7,1,7,2366,14,Yes
850,27,Research & Development,Research Scientist,Male,3,Married,3,4,4,2,6,No,0,0,0,0,0,1706,11,No
851,51,Sales,Manager,Female,4,Married,3,3,1,2,2,No,29,20,6,4,17,16307,14,No
852,44,Research & Development,Healthcare Representative,Male,3,Single,3,2,4,2,2,No,10,5,2,2,3,5933,12,No
854,25,Research & Development,Research Scientist,Male,1,Single,3,1,1,2,3,No,6,4,3,0,1,3424,13,No
855,33,Sales,Sales Executive,Male,3,Divorced,4,1,1,3,5,No,9,9,8,0,8,4037,22,No
856,35,Research & Development,Research Scientist,Female,1,Single,3,1,3,2,3,No,6,6,5,1,1,2559,11,No
857,36,Sales,Sales Executive,Male,2,Married,3,4,2,2,1,Yes,18,18,14,4,11,6201,14,No
859,32,Sales,Sales Executive,Male,4,Divorced,3,4,2,2,3,No,8,5,2,0,3,4403,11,No
861,30,Research & Development,Research Scientist,Male,4,Divorced,3,4,2,2,3,No,10,5,4,0,3,3761,12,No
862,53,Sales,Sales Executive,Female,2,Married,3,4,1,3,3,Yes,35,5,2,0,4,10934,18,No
864,45,Sales,Sales Executive,Male,3,Divorced,3,1,4,3,2,Yes,18,5,4,0,2,10761,12,No
865,32,Research & Development,Research Scientist,Female,2,Married,3,3,3,2,3,No,9,5,3,1,3,5175,12,No
867,52,Research & Development,Manufacturing Director,Female,4,Married,4,4,3,3,3,No,31,9,8,0,0,13826,22,No
868,37,Sales,Sales Executive,Male,4,Divorced,3,3,4,3,2,No,9,1,0,0,0,6334,19,No
869,28,Human Resources,Human Resources,Male,2,Divorced,3,4,2,3,6,No,6,5,1,0,4,4936,13,No
872,22,Research & Development,Manufacturing Director,Male,2,Married,4,4,4,1,2,No,4,2,2,2,2,4775,22,No
874,44,Research & Development,Laboratory Technician,Male,4,Married,4,4,1,2,2,Yes,10,3,2,0,2,2818,24,No
875,42,Research & Development,Research Scientist,Male,1,Single,3,4,2,3,2,Yes,8,2,1,2,2,2515,14,No
878,36,Human Resources,Human Resources,Male,3,Married,4,1,1,3,3,No,6,5,4,0,3,2342,21,No
879,25,Sales,Sales Executive,Male,1,Married,3,1,3,3,3,Yes,5,5,3,0,3,4194,18,No
880,35,Research & Development,Manufacturing Director,Female,3,Married,4,3,4,3,2,Yes,17,17,14,5,15,10685,20,No
881,35,Research & Development,Research Scientist,Female,4,Divorced,3,2,4,2,3,Yes,10,10,2,7,8,2022,19,Yes
882,32,Research & Development,Laboratory Technician,Male,3,Divorced,3,4,4,3,2,No,4,3,0,0,2,2314,12,No
885,25,Sales,Sales Executive,Male,1,Married,3,1,3,4,1,No,5,5,2,0,3,4256,12,No
887,49,Research & Development,Research Scientist,Female,3,Married,3,1,3,3,2,No,7,4,2,0,2,3580,16,No
888,24,Research & Development,Laboratory Technician,Male,1,Married,3,4,1,2,2,No,6,5,2,3,4,3162,17,No
889,32,Sales,Sales Executive,Male,2,Married,3,2,2,3,3,No,10,10,8,5,3,6524,14,No
893,38,Sales,Sales Representative,Male,3,Married,3,2,2,3,3,No,3,2,2,1,2,2899,19,No
894,42,Research & Development,Laboratory Technician,Female,3,Married,3,4,3,2,1,Yes,17,5,3,1,3,5231,13,No
895,31,Research & Development,Research Scientist,Male,4,Married,3,4,4,3,2,Yes,8,6,4,0,2,2356,19,No
896,29,Sales,Sales Representative,Female,3,Divorced,3,3,2,3,3,Yes,5,3,2,0,2,2800,19,Yes
897,53,Sales,Sales Executive,Male,3,Married,3,4,1,3,3,No,28,2,0,2,2,11836,14,No
899,35,Research & Development,Manufacturing Director,Male,3,Married,3,2,4,3,2,No,16,13,10,4,8,10903,16,No
900,37,Sales,Sales Representative,Female,2,Married,3,4,3,3,3,No,10,5,4,0,0,2973,15,No
901,53,Research & Development,Research Director,Female,4,Single,3,4,4,3,0,No,33,12,9,3,8,14275,18,No
902,43,Research & Development,Healthcare Representative,Female,3,Married,3,4,4,2,2,No,12,5,2,2,2,5562,13,No
903,47,Sales,Sales Executive,Female,2,Married,4,4,3,3,2,Yes,8,7,6,7,7,4537,22,No
904,37,Sales,Sales Executive,Male,2,Single,3,2,1,3,2,Yes,10,10,0,0,9,7642,13,No
905,50,Research & Development,Manager,Male,4,Divorced,3,1,1,3,3,No,31,31,6,14,7,17924,11,No
909,39,Human Resources,Human Resources,Female,3,Married,3,4,4,3,2,No,13,5,4,0,4,5204,11,No
910,33,Human Resources,Human Resources,Male,2,Divorced,3,2,4,4,4,Yes,7,4,3,0,3,2277,11,No
911,32,Research & Development,Laboratory Technician,Male,4,Single,4,4,1,1,2,Yes,1,1,0,0,1,2795,24,Yes
912,29,Research & Development,Laboratory Technician,Female,1,Divorced,3,4,1,3,5,No,8,4,3,0,3,2532,14,No
913,44,Research & Development,Research Scientist,Male,2,Married,3,1,2,3,0,Yes,8,8,7,7,1,2559,13,No
916,28,Sales,Sales Executive,Male,4,Single,3,4,1,3,3,No,4,4,2,0,2,4908,14,No
918,58,Research & Development,Laboratory Technician,Male,1,Divorced,3,4,4,2,3,Yes,3,1,0,0,0,2380,14,Yes
920,43,Research & Development,Manufacturing Director,Female,3,Divorced,4,2,1,4,2,No,4,1,0,0,0,4765,21,No
922,20,Sales,Sales Representative,Female,3,Single,3,3,3,2,3,No,2,2,2,0,2,2044,13,Yes
923,21,Research & Development,Research Scientist,Female,1,Single,3,4,4,2,3,No,1,1,0,0,0,2693,19,Yes
924,36,Research & Development,Healthcare Representative,Male,1,Married,3,4,3,2,2,Yes,17,16,8,4,11,6586,17,No
925,47,Sales,Sales Representative,Female,4,Single,3,4,4,2,3,Yes,3,3,2,1,2,3294,18,No
926,22,Research & Development,Manufacturing Director,Female,1,Married,3,3,2,4,3,Yes,4,3,2,0,2,4171,19,Yes
927,41,Research & Development,Laboratory Technician,Female,4,Divorced,3,4,2,2,1,Yes,10,7,7,1,0,2778,13,Yes
930,28,Research & Development,Research Scientist,Female,3,Divorced,3,3,3,3,2,No,6,2,2,2,2,2377,18,No
932,39,Research & Development,Laboratory Technician,Male,3,Married,4,1,4,1,2,Yes,8,2,2,2,2,2404,21,Yes
933,27,Research & Development,Research Scientist,Female,3,Single,3,3,2,3,2,No,1,1,1,0,0,2318,19,No
934,34,Research & Development,Laboratory Technician,Male,3,Divorced,3,2,2,3,3,No,1,1,0,1,0,2008,14,No
936,42,Sales,Sales Executive,Female,2,Single,3,3,3,3,6,No,10,5,4,0,3,6244,17,No
939,33,Research & Development,Research Scientist,Male,4,Single,3,1,3,3,1,Yes,6,3,2,0,2,2799,11,No
940,58,Research & Development,Healthcare Representative,Female,3,Divorced,3,2,3,3,3,Yes,24,6,0,0,4,10552,13,No
941,31,Sales,Sales Representative,Male,4,Married,3,3,2,4,2,No,13,7,7,5,2,2329,15,No
942,35,Research & Development,Healthcare Representative,Female,1,Married,4,4,4,1,2,Yes,10,10,6,0,7,4014,25,No
944,49,Research & Development,Laboratory Technician,Female,2,Married,3,2,1,2,3,No,29,26,9,1,7,7403,11,No
945,48,Research & Development,Research Scientist,Male,4,Married,3,3,4,2,2,No,13,0,0,0,0,2259,17,No
947,31,Sales,Sales Executive,Female,2,Married,3,3,4,2,2,No,9,9,8,0,0,6932,13,No
949,36,Research & Development,Research Scientist,Male,4,Single,3,4,2,3,6,No,8,6,2,0,1,4678,18,No
950,38,Research & Development,Research Director,Female,3,Married,3,1,4,3,3,No,15,15,12,5,11,13582,13,No
951,32,Research & Development,Laboratory Technician,Female,3,Married,4,2,3,3,3,No,5,3,0,0,2,2332,20,No
952,25,Sales,Sales Representative,Male,2,Married,3,2,3,3,2,Yes,1,1,0,0,0,2413,18,Yes
954,40,Sales,Sales Executive,Male,4,Divorced,3,2,1,2,2,No,11,1,0,0,0,9705,12,No
956,26,Sales,Sales Executive,Male,3,Single,3,1,3,3,2,No,7,7,7,0,7,4294,12,No
957,41,Research & Development,Laboratory Technician,Male,3,Single,3,1,4,3,3,Yes,20,18,13,2,17,4721,13,No
958,36,Research & Development,Laboratory Technician,Male,4,Single,4,3,3,3,6,No,16,11,8,3,9,2519,21,No
959,19,Sales,Sales Representative,Male,3,Single,3,2,4,4,3,Yes,1,1,0,0,0,2121,13,Yes
960,20,Research & Development,Laboratory Technician,Male,3,Single,3,1,1,3,2,No,1,1,0,0,0,2973,19,Yes
961,31,Research & Development,Healthcare Representative,Female,3,Married,3,4,4,1,2,Yes,10,9,7,8,5,5855,11,No
964,40,Research & Development,Research Scientist,Male,4,Divorced,3,2,4,3,2,Yes,3,1,1,0,0,3617,14,No
966,32,Research & Development,Manufacturing Director,Female,4,Married,3,1,3,4,2,No,8,8,7,6,3,6725,12,No
967,36,Sales,Sales Executive,Male,1,Married,3,4,3,3,6,Yes,16,16,7,3,7,10325,11,Yes
969,33,Research & Development,Healthcare Representative,Female,3,Single,3,4,2,3,3,No,6,5,0,1,4,6949,14,No
970,37,Sales,Sales Executive,Male,4,Married,3,3,1,1,2,No,17,14,1,11,7,10609,11,Yes
972,45,Research & Development,Laboratory Technician,Male,2,Married,3,2,3,2,5,No,9,9,7,0,8,4447,12,No
974,29,Sales,Sales Representative,Female,3,Married,3,4,3,3,5,No,3,3,1,0,2,2157,15,No
975,35,Sales,Sales Executive,Female,3,Married,3,3,3,3,3,No,5,5,2,1,0,4601,16,No
976,52,Research & Development,Manager,Male,2,Married,3,4,4,2,2,No,26,9,8,7,8,17099,15,No
977,58,Research & Development,Research Scientist,Male,3,Single,4,3,4,3,4,No,7,1,0,0,0,2479,24,Yes
981,53,Sales,Manager,Male,2,Divorced,3,3,3,4,3,No,22,17,13,15,2,14852,13,No
982,30,Sales,Sales Executive,Male,2,Divorced,3,3,3,4,2,No,10,8,4,7,7,7264,11,No
983,38,Sales,Sales Executive,Female,3,Single,3,4,3,3,1,Yes,6,5,3,1,3,5666,13,No
984,35,Sales,Sales Executive,Male,4,Divorced,3,4,4,3,2,No,12,10,9,0,8,7823,13,No
985,39,Sales,Sales Executive,Male,5,Single,3,3,1,3,3,No,9,8,7,0,7,7880,18,No
986,40,Sales,Sales Executive,Female,3,Single,3,2,2,2,2,Yes,22,1,0,0,0,13194,16,Yes
987,47,Research & Development,Manufacturing Director,Male,4,Divorced,3,3,3,4,3,Yes,20,19,10,2,7,5067,19,No
990,36,Sales,Sales Executive,Male,4,Divorced,3,4,1,3,3,No,12,7,7,0,7,5079,13,No
991,31,Research & Development,Research Scientist,Male,2,Single,4,1,3,3,0,Yes,4,3,2,1,2,2321,22,Yes
992,33,Sales,Manager,Male,3,Single,3,3,4,3,2,No,10,10,8,6,0,17444,11,No
994,29,Research & Development,Research Scientist,Female,3,Single,4,1,4,3,5,Yes,3,0,0,0,0,2404,20,Yes
995,33,Research & Development,Research Scientist,Female,1,Single,3,4,2,3,4,No,5,3,2,0,2,3452,18,No
996,45,Research & Development,Laboratory Technician,Female,4,Divorced,3,4,4,3,2,No,8,5,3,0,2,2270,14,No
997,50,Research & Development,Research Director,Male,2,Divorced,4,4,4,2,1,No,32,5,4,1,3,17399,22,No
998,33,Research & Development,Healthcare Representative,Female,4,Married,3,2,3,3,2,Yes,6,6,5,1,2,5488,13,No
999,41,Research & Development,Research Director,Male,3,Divorced,3,3,1,4,2,No,21,18,16,0,11,19419,17,No
1001,27,Research & Development,Laboratory Technician,Female,4,Married,3,2,3,3,2,No,4,2,2,2,2,2811,14,No
1002,45,Research & Development,Laboratory Technician,Male,2,Married,3,1,4,3,2,Yes,9,9,8,0,8,3633,15,No
1003,47,Sales,Sales Executive,Female,2,Single,3,4,4,3,0,Yes,9,9,0,0,7,4163,17,No
1004,30,Research & Development,Research Scientist,Female,3,Married,3,3,1,3,2,Yes,7,5,2,0,1,2132,11,Yes
1005,50,Research & Development,Manufacturing Director,Male,3,Married,3,3,4,3,2,Yes,22,12,11,1,5,13973,18,No
1006,38,Research & Development,Research Scientist,Male,1,Married,3,3,3,2,0,No,3,2,1,0,2,2684,17,No
1007,46,Research & Development,Manufacturing Director,Male,2,Divorced,3,3,4,3,3,No,13,8,7,0,7,10845,13,No
1009,24,Research & Development,Manufacturing Director,Female,1,Divorced,3,3,4,3,6,No,5,4,2,3,2,4377,15,No
1010,35,Research & Development,Laboratory Technician,Male,4,Divorced,4,2,3,1,2,Yes,5,4,2,0,2,3743,24,Yes
1011,31,Research & Development,Manufacturing Director,Female,1,Married,3,1,3,3,1,No,4,4,3,0,3,4148,12,No
1012,18,Research & Development,Research Scientist,Male,2,Single,3,4,2,3,2,No,0,0,0,0,0,1051,15,No
1013,54,Research & Development,Manufacturing Director,Female,3,Married,3,3,3,3,2,No,22,10,7,0,8,10739,11,No
1014,35,Research & Development,Healthcare Representative,Female,4,Divorced,3,3,3,2,3,Yes,16,16,10,10,1,10388,11,No
1015,30,Research & Development,Research Director,Female,2,Married,3,1,2,2,4,Yes,9,8,7,1,7,11416,12,No
1016,20,Research & Development,Research Scientist,Female,3,Single,3,1,4,3,2,Yes,1,1,0,0,0,2600,15,Yes
1017,30,Research & Development,Laboratory Technician,Female,3,Single,3,2,2,3,3,No,4,3,2,1,2,2422,17,Yes
1018,26,Research & Development,Manufacturing Director,Male,2,Married,3,4,4,3,2,No,8,8,7,1,3,5472,12,No
1019,22,Research & Development,Laboratory Technician,Male,1,Married,3,1,2,2,3,No,4,4,3,1,1,2451,15,No
1022,48,Research & Development,Healthcare Representative,Male,3,Single,3,3,1,3,0,No,19,2,2,2,2,4240,13,No
1024,48,Research & Development,Healthcare Representative,Male,4,Single,3,3,3,3,3,No,27,15,11,4,8,10999,14,No
1025,41,Research & Development,Manufacturing Director,Female,2,Single,3,3,4,3,6,No,8,2,2,2,1,5003,14,No
1026,39,Research & Development,Manufacturing Director,Female,1,Married,3,4,4,3,3,No,21,21,6,11,8,12742,16,No
1027,27,Research & Development,Manufacturing Director,Female,4,Married,3,4,1,3,2,No,4,3,2,2,2,4227,18,No
1028,35,Research & Development,Laboratory Technician,Male,3,Divorced,4,4,2,2,4,No,3,3,2,1,2,3917,20,No
1029,42,Sales,Manager,Male,2,Married,3,3,4,4,3,No,21,1,0,0,0,18303,13,No
1030,50,Research & Development,Laboratory Technician,Male,3,Married,3,4,1,3,5,No,8,1,0,0,0,2380,18,No
1032,59,Research & Development,Manufacturing Director,Female,3,Single,3,4,3,3,4,Yes,30,5,3,4,3,13726,13,No
1033,37,Research & Development,Healthcare Representative,Female,2,Married,3,2,1,1,2,No,15,1,0,0,0,4777,15,Yes
1034,55,Research & Development,Healthcare Representative,Male,4,Married,3,2,3,3,3,Yes,17,8,7,6,7,6385,14,No
1035,41,Research & Development,Research Director,Female,1,Divorced,4,3,2,3,3,No,21,21,16,5,10,19973,22,No
